NFO_CODE,NSE_CODE,EXCHANGE
TORNTPOWER,NSE:TORNTPOWER,NSE
TRENT,NSE:TRENT,NSE
TVSMOTOR,NSE:TVSMOTOR,NSE
UBL,NSE:UBL,NSE
ULTRACEMCO,NSE:ULTRACEMCO,NSE
UPL,NSE:UPL,NSE
VEDL,NSE:VEDL,NSE
VOLTAS,NSE:VOLTAS,NSE
WHIRLPOOL,NSE:WHIRLPOOL,NSE
WIPRO,NSE:WIPRO,NSE
ZEEL,NSE:ZEEL,NSE
